symbol	default_version
posix_spawn_file_actions_addchdir_np	LIBC_U
posix_spawn_file_actions_addclose	LIBC_P
posix_spawn_file_actions_adddup2	LIBC_P
posix_spawn_file_actions_addfchdir_np	LIBC_U
posix_spawn_file_actions_addopen	LIBC_P
posix_spawn_file_actions_destroy	LIBC_P
posix_spawn_file_actions_init	LIBC_P
posix_spawnattr_destroy	LIBC_P
posix_spawnattr_getflags	LIBC_P
posix_spawnattr_getpgroup	LIBC_P
posix_spawnattr_getschedparam	LIBC_P
posix_spawnattr_getschedpolicy	LIBC_P
posix_spawnattr_getsigdefault	LIBC_P
posix_spawnattr_getsigdefault64	LIBC_P
posix_spawnattr_getsigmask	LIBC_P
posix_spawnattr_getsigmask64	LIBC_P
posix_spawnattr_init	LIBC_P
posix_spawnattr_setflags	LIBC_P
posix_spawnattr_setpgroup	LIBC_P
posix_spawnattr_setschedparam	LIBC_P
posix_spawnattr_setschedpolicy	LIBC_P
posix_spawnattr_setsigdefault	LIBC_P
posix_spawnattr_setsigdefault64	LIBC_P
posix_spawnattr_setsigmask	LIBC_P
posix_spawnattr_setsigmask64	LIBC_P
posix_spawnp	LIBC_P
ppoll	LIBC
ppoll64	LIBC_P
prctl	LIBC
pread	LIBC
pread64	LIBC
preadv	LIBC_N
preadv2	LIBC_T
preadv64	LIBC_N
preadv64v2	LIBC_T
printf	LIBC
prlimit	LIBC
prlimit64	LIBC
process_madvise	LIBC_S
process_vm_readv	LIBC
process_vm_writev	LIBC
pselect	LIBC
pselect64	LIBC_P
psiginfo	LIBC
psignal	LIBC
pthread_atfork	LIBC
pthread_attr_destroy	LIBC
pthread_attr_getdetachstate	LIBC
pthread_attr_getguardsize	LIBC
pthread_attr_getinheritsched	LIBC_P
pthread_attr_getschedparam	LIBC
pthread_attr_getschedpolicy	LIBC
pthread_attr_getscope	LIBC
pthread_attr_getstack	LIBC
pthread_attr_getstacksize	LIBC
pthread_attr_init	LIBC
pthread_attr_setdetachstate	LIBC
pthread_attr_setguardsize	LIBC
pthread_attr_setinheritsched	LIBC_P
pthread_attr_setschedparam	LIBC
pthread_attr_setschedpolicy	LIBC
pthread_attr_setscope	LIBC
pthread_attr_setstack	LIBC
pthread_attr_setstacksize	LIBC
pthread_barrier_destroy	LIBC_N
pthread_barrier_init	LIBC_N
pthread_barrier_wait	LIBC_N
pthread_barrierattr_destroy	LIBC_N
pthread_barrierattr_getpshared	LIBC_N
pthread_barrierattr_init	LIBC_N
pthread_barrierattr_setpshared	LIBC_N
pthread_cond_broadcast	LIBC
pthread_cond_clockwait	LIBC_R
pthread_cond_destroy	LIBC
pthread_cond_init	LIBC
pthread_cond_signal	LIBC
pthread_cond_timedwait	LIBC
pthread_cond_timedwait_monotonic_np	LIBC
pthread_cond_wait	LIBC
pthread_condattr_destroy	LIBC
pthread_condattr_getclock	LIBC
pthread_condattr_getpshared	LIBC
pthread_condattr_init	LIBC
pthread_condattr_setclock	LIBC
pthread_condattr_setpshared	LIBC
pthread_create	LIBC
pthread_detach	LIBC
pthread_equal	LIBC
pthread_exit	LIBC
pthread_getaffinity_np	LIBC_36
pthread_getattr_np	LIBC
pthread_getcpuclockid	LIBC
pthread_getname_np	LIBC_O
pthread_getschedparam	LIBC
pthread_getspecific	LIBC
pthread_gettid_np	LIBC
pthread_join	LIBC
pthread_key_create	LIBC
pthread_key_delete	LIBC
pthread_kill	LIBC
pthread_mutex_clocklock	LIBC_R
pthread_mutex_destroy	LIBC
pthread_mutex_init	LIBC
pthread_mutex_lock	LIBC
pthread_mutex_timedlock	LIBC
pthread_mutex_timedlock_monotonic_np	LIBC_P
pthread_mutex_trylock	LIBC
pthread_mutex_unlock	LIBC
pthread_mutexattr_destroy	LIBC
pthread_mutexattr_getprotocol	LIBC_P
pthread_mutexattr_getpshared	LIBC
pthread_mutexattr_gettype	LIBC
pthread_mutexattr_init	LIBC
pthread_mutexattr_setprotocol	LIBC_P
pthread_mutexattr_setpshared	LIBC
pthread_mutexattr_settype	LIBC
pthread_once	LIBC
pthread_rwlock_clockrdlock	LIBC_R
pthread_rwlock_clockwrlock	LIBC_R
pthread_rwlock_destroy	LIBC
pthread_rwlock_init	LIBC
pthread_rwlock_rdlock	LIBC
pthread_rwlock_timedrdlock	LIBC
pthread_rwlock_timedrdlock_monotonic_np	LIBC_P
pthread_rwlock_timedwrlock	LIBC
pthread_rwlock_timedwrlock_monotonic_np	LIBC_P
pthread_rwlock_tryrdlock	LIBC
pthread_rwlock_trywrlock	LIBC
pthread_rwlock_unlock	LIBC
pthread_rwlock_wrlock	LIBC
pthread_rwlockattr_destroy	LIBC
pthread_rwlockattr_getkind_np	LIBC
pthread_rwlockattr_getpshared	LIBC
pthread_rwlockattr_init	LIBC
pthread_rwlockattr_setkind_np	LIBC
pthread_rwlockattr_setpshared	LIBC
pthread_self	LIBC
pthread_setaffinity_np	LIBC_36
pthread_setname_np	LIBC
pthread_setschedparam	LIBC
pthread_setschedprio	LIBC_P
pthread_setspecific	LIBC
pthread_sigmask	LIBC
pthread_sigmask64	LIBC_P
pthread_sigqueue	LIBC_Q
pthread_spin_destroy	LIBC_N
pthread_spin_init	LIBC_N
pthread_spin_lock	LIBC_N
pthread_spin_trylock	LIBC_N
pthread_spin_unlock	LIBC_N
ptrace	LIBC
ptsname	LIBC
ptsname_r	LIBC
putc	LIBC
putc_unlocked	LIBC
putchar	LIBC
putchar_unlocked	LIBC
putenv	LIBC
puts	LIBC
pututline	LIBC
putwc	LIBC
putwchar	LIBC
pwrite	LIBC
pwrite64	LIBC
pwritev	LIBC_N
pwritev2	LIBC_T
pwritev64	LIBC_N
pwritev64v2	LIBC_T
qsort	LIBC
qsort_r	LIBC_36
quick_exit	LIBC
quotactl	LIBC_O
raise	LIBC
rand	LIBC
rand_r	LIBC
random	LIBC
read	LIBC
readahead	LIBC
readdir	LIBC
readdir64	LIBC
readdir64_r	LIBC
readdir_r	LIBC
readlink	LIBC
readlinkat	LIBC
readv	LIBC
realloc	LIBC
reallocarray	LIBC_Q
realpath	LIBC
reboot	LIBC
recv	LIBC
recvfrom	LIBC
recvmmsg	LIBC
recvmsg	LIBC
regcomp	LIBC
regerror	LIBC
regexec	LIBC
regfree	LIBC
remove	LIBC
removexattr	LIBC
remque	LIBC
rename	LIBC
renameat	LIBC
renameat2	LIBC_R
res_init	LIBC
res_mkquery	LIBC
res_query	LIBC
res_search	LIBC
rewind	LIBC
rewinddir	LIBC
rmdir	LIBC
sbrk	LIBC
scandir	LIBC
scandir64	LIBC
scandirat	LIBC_N
scandirat64	LIBC_N
scanf	LIBC
sched_get_priority_max	LIBC
sched_get_priority_min	LIBC
sched_getaffinity	LIBC
sched_getattr	LIBC_37
sched_getcpu	LIBC
sched_getparam	LIBC
sched_getscheduler	LIBC
sched_rr_get_interval	LIBC
sched_setaffinity	LIBC
sched_setattr	LIBC_37
sched_setparam	LIBC
sched_setscheduler	LIBC
